,class_hits,class_nums_total,function_hits,function_nums_total,variable_hits,variable_nums_total,string_hits,string_nums_total,comment_hits,comment_nums_total,docstring_hits,docstring_nums_total,trained_on
the_stack_python_script_43193.py,0.0,2,0.0,2,0.5454545454545454,11,0.2,15,0.16666666666666666,6,0.0,1,1
the_stack_python_script_17117.py,0.0,0,0.0,0,0.625,8,0.10526315789473684,38,0.17647058823529413,17,0.0,0,1
the_stack_python_script_15387.py,1.0,2,0.2857142857142857,7,0.8,5,0.4,5,0.0,0,0.0,0,1
the_stack_python_script_13717.py,0.0,0,0.0,0,1.0,1,0.0,1,0.2,5,0.0,0,1
the_stack_python_script_12011.py,0.0,0,0.5555555555555556,9,1.0,24,0.5714285714285714,7,0.65,20,0.0,0,1
the_stack_python_script_16780.py,0.75,4,0.0,0,1.0,1,0.0,8,0.42857142857142855,14,0.0,0,1
the_stack_python_script_86991.py,1.0,1,0.3333333333333333,6,1.0,6,0.0,1,0.0,0,0.0,0,0
the_stack_python_script_16755.py,0.0,0,0.0,0,0.6666666666666666,6,0.0,2,1.0,1,0.0,0,1
the_stack_python_script_42897.py,0.7142857142857143,7,0.5714285714285714,14,0.7333333333333333,15,0.2,15,0.06896551724137931,29,0.0,2,1
the_stack_python_script_18353.py,0.0,0,0.0,0,0.0,1,1.0,3,0.375,16,0.0,0,1
the_stack_python_script_18100.py,0.0,0,0.0,1,1.0,3,0.5,2,0.0,0,0.0,0,0
the_stack_python_script_18194.py,0.5,2,1.0,2,1.0,3,0.0,3,0.0,0,0.0,0,0
the_stack_python_script_1252.py,0.5,2,0.42857142857142855,7,0.8333333333333334,6,0.5714285714285714,7,0.0,1,0.0,0,1
the_stack_python_script_10971.py,0.5,2,0.4444444444444444,9,0.9655172413793104,29,0.09090909090909091,11,0.15789473684210525,19,0.125,8,1
the_stack_python_script_31.py,1.0,1,1.0,5,0.8928571428571429,28,0.2857142857142857,28,0.24390243902439024,41,0.0,0,1
the_stack_python_script_1034.py,0.5555555555555556,9,1.0,5,0.8333333333333334,6,0.125,8,0.0,0,0.4,10,1
